id,text_snippet,labels,cleaned_text,lemmatized_text,normalized_text
1,Our data pipeline outperforms CompetitorZ and offers better budget options.,"Security, Objection, Competition",data pipeline outperforms CompetitorZ offers better budget options .,data pipeline outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
2,Our analytics outperforms CompetitorX and offers better discount options.,"Security, Objection",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
3,Our analytics outperforms CompetitorX and offers better discount options.,"Security, Pricing Discussion",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
4,Our data pipeline outperforms CompetitorX and offers better pricing model options.,Pricing Discussion,data pipeline outperforms CompetitorX offers better pricing model options .,data pipeline outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
5,Our AI engine outperforms CompetitorZ and offers better discount options.,"Objection, Competition, Pricing Discussion",AI engine outperforms CompetitorZ offers better discount options .,AI engine outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
6,Our AI engine outperforms CompetitorZ and offers better pricing model options.,Competition,AI engine outperforms CompetitorZ offers better pricing model options .,AI engine outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
7,Our analytics outperforms CompetitorX and offers better budget options.,Security,analytics outperforms CompetitorX offers better budget options .,analytics outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
8,Our analytics outperforms CompetitorX and offers better pricing model options.,"Security, Competition",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
9,Our data pipeline outperforms CompetitorY and offers better renewal cost options.,"Security, Pricing Discussion",data pipeline outperforms CompetitorY offers better renewal cost options .,data pipeline outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
10,Our data pipeline outperforms CompetitorX and offers better budget options.,"Objection, Security",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
11,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Objection, Security, Competition",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
12,Our data pipeline outperforms CompetitorY and offers better discount options.,"Security, Objection",data pipeline outperforms CompetitorY offers better discount options .,data pipeline outperforms CompetitorY offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
13,Our analytics outperforms CompetitorX and offers better discount options.,"Objection, Competition",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
14,Our data pipeline outperforms CompetitorX and offers better discount options.,Competition,data pipeline outperforms CompetitorX offers better discount options .,data pipeline outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
15,Our analytics outperforms CompetitorZ and offers better pricing model options.,"Pricing Discussion, Competition",analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
16,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,Pricing Discussion,data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
17,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,"Pricing Discussion, Objection, Security",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
18,Our AI engine outperforms CompetitorX and offers better renewal cost options.,"Objection, Pricing Discussion, Security",AI engine outperforms CompetitorX offers better renewal cost options .,AI engine outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
19,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,Objection,data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
20,Our analytics outperforms CompetitorZ and offers better renewal cost options.,"Security, Competition, Objection",analytics outperforms CompetitorZ offers better renewal cost options .,analytics outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
21,Our analytics outperforms CompetitorZ and offers better pricing model options.,Security,analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
22,Our data pipeline outperforms CompetitorY and offers better pricing model options.,"Pricing Discussion, Competition, Security",data pipeline outperforms CompetitorY offers better pricing model options .,data pipeline outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
23,Our AI engine outperforms CompetitorY and offers better budget options.,"Pricing Discussion, Security",AI engine outperforms CompetitorY offers better budget options .,AI engine outperforms CompetitorY offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
24,Our analytics outperforms CompetitorY and offers better renewal cost options.,"Security, Competition",analytics outperforms CompetitorY offers better renewal cost options .,analytics outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
25,Our data pipeline outperforms CompetitorX and offers better budget options.,"Security, Competition, Objection",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
26,Our analytics outperforms CompetitorZ and offers better renewal cost options.,Objection,analytics outperforms CompetitorZ offers better renewal cost options .,analytics outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
27,Our data pipeline outperforms CompetitorX and offers better pricing model options.,"Objection, Competition, Security",data pipeline outperforms CompetitorX offers better pricing model options .,data pipeline outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
28,Our AI engine outperforms CompetitorZ and offers better renewal cost options.,Pricing Discussion,AI engine outperforms CompetitorZ offers better renewal cost options .,AI engine outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
29,Our AI engine outperforms CompetitorZ and offers better discount options.,Pricing Discussion,AI engine outperforms CompetitorZ offers better discount options .,AI engine outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
30,Our analytics outperforms CompetitorZ and offers better budget options.,"Objection, Pricing Discussion",analytics outperforms CompetitorZ offers better budget options .,analytics outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
31,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Security, Objection",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
32,Our data pipeline outperforms CompetitorZ and offers better discount options.,"Competition, Objection",data pipeline outperforms CompetitorZ offers better discount options .,data pipeline outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
33,Our data pipeline outperforms CompetitorY and offers better renewal cost options.,"Objection, Competition",data pipeline outperforms CompetitorY offers better renewal cost options .,data pipeline outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
34,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Security, Competition",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
35,Our AI engine outperforms CompetitorZ and offers better budget options.,"Competition, Security",AI engine outperforms CompetitorZ offers better budget options .,AI engine outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
36,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,Security,data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
37,Our AI engine outperforms CompetitorZ and offers better pricing model options.,"Pricing Discussion, Objection",AI engine outperforms CompetitorZ offers better pricing model options .,AI engine outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
38,Our AI engine outperforms CompetitorY and offers better discount options.,"Competition, Pricing Discussion",AI engine outperforms CompetitorY offers better discount options .,AI engine outperforms CompetitorY offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
39,Our analytics outperforms CompetitorX and offers better pricing model options.,"Security, Competition, Objection",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
40,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Security, Objection",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
41,Our AI engine outperforms CompetitorZ and offers better discount options.,Pricing Discussion,AI engine outperforms CompetitorZ offers better discount options .,AI engine outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
42,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,"Objection, Security",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
43,Our AI engine outperforms CompetitorZ and offers better renewal cost options.,Security,AI engine outperforms CompetitorZ offers better renewal cost options .,AI engine outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
44,Our AI engine outperforms CompetitorY and offers better pricing model options.,"Competition, Security",AI engine outperforms CompetitorY offers better pricing model options .,AI engine outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
45,Our analytics outperforms CompetitorZ and offers better pricing model options.,"Competition, Pricing Discussion, Objection",analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
46,Our AI engine outperforms CompetitorX and offers better budget options.,"Security, Pricing Discussion",AI engine outperforms CompetitorX offers better budget options .,AI engine outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
47,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,"Objection, Pricing Discussion",data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
48,Our analytics outperforms CompetitorZ and offers better budget options.,Objection,analytics outperforms CompetitorZ offers better budget options .,analytics outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
49,Our data pipeline outperforms CompetitorZ and offers better renewal cost options.,"Security, Competition, Objection",data pipeline outperforms CompetitorZ offers better renewal cost options .,data pipeline outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
50,Our data pipeline outperforms CompetitorZ and offers better discount options.,"Competition, Objection, Pricing Discussion",data pipeline outperforms CompetitorZ offers better discount options .,data pipeline outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
51,Our analytics outperforms CompetitorZ and offers better pricing model options.,"Objection, Pricing Discussion",analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
52,Our analytics outperforms CompetitorX and offers better pricing model options.,"Objection, Security, Competition",analytics outperforms CompetitorX offers better pricing model options .,analytics outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
53,Our analytics outperforms CompetitorY and offers better budget options.,"Objection, Security, Pricing Discussion",analytics outperforms CompetitorY offers better budget options .,analytics outperforms CompetitorY offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
54,Our analytics outperforms CompetitorY and offers better pricing model options.,"Competition, Objection",analytics outperforms CompetitorY offers better pricing model options .,analytics outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
55,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,Pricing Discussion,data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
56,Our AI engine outperforms CompetitorZ and offers better pricing model options.,"Pricing Discussion, Objection",AI engine outperforms CompetitorZ offers better pricing model options .,AI engine outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
57,Our analytics outperforms CompetitorX and offers better discount options.,"Pricing Discussion, Competition, Objection",analytics outperforms CompetitorX offers better discount options .,analytics outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
58,Our data pipeline outperforms CompetitorZ and offers better budget options.,Security,data pipeline outperforms CompetitorZ offers better budget options .,data pipeline outperforms CompetitorZ offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
59,Our analytics outperforms CompetitorZ and offers better renewal cost options.,"Objection, Pricing Discussion",analytics outperforms CompetitorZ offers better renewal cost options .,analytics outperforms CompetitorZ offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
60,Our AI engine outperforms CompetitorX and offers better renewal cost options.,Security,AI engine outperforms CompetitorX offers better renewal cost options .,AI engine outperforms CompetitorX offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
61,Our analytics outperforms CompetitorY and offers better renewal cost options.,Pricing Discussion,analytics outperforms CompetitorY offers better renewal cost options .,analytics outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
62,Our AI engine outperforms CompetitorX and offers better pricing model options.,"Competition, Objection",AI engine outperforms CompetitorX offers better pricing model options .,AI engine outperforms CompetitorX offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
63,Our AI engine outperforms CompetitorY and offers better renewal cost options.,Pricing Discussion,AI engine outperforms CompetitorY offers better renewal cost options .,AI engine outperforms CompetitorY offer better renewal cost option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
64,Our analytics outperforms CompetitorZ and offers better discount options.,"Security, Objection",analytics outperforms CompetitorZ offers better discount options .,analytics outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
65,Our data pipeline outperforms CompetitorX and offers better budget options.,"Security, Objection, Competition",data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
66,Our analytics outperforms CompetitorY and offers better discount options.,Competition,analytics outperforms CompetitorY offers better discount options .,analytics outperforms CompetitorY offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
67,Our analytics outperforms CompetitorY and offers better pricing model options.,Competition,analytics outperforms CompetitorY offers better pricing model options .,analytics outperforms CompetitorY offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
68,Our analytics outperforms CompetitorZ and offers better discount options.,Competition,analytics outperforms CompetitorZ offers better discount options .,analytics outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
69,Our AI engine outperforms CompetitorX and offers better budget options.,Pricing Discussion,AI engine outperforms CompetitorX offers better budget options .,AI engine outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
70,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,"Competition, Objection",data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
71,Our data pipeline outperforms CompetitorZ and offers better pricing model options.,"Security, Objection",data pipeline outperforms CompetitorZ offers better pricing model options .,data pipeline outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
72,Our data pipeline outperforms CompetitorX and offers better budget options.,Pricing Discussion,data pipeline outperforms CompetitorX offers better budget options .,data pipeline outperforms CompetitorX offer better budget option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
73,Our analytics outperforms CompetitorZ and offers better pricing model options.,"Objection, Pricing Discussion",analytics outperforms CompetitorZ offers better pricing model options .,analytics outperforms CompetitorZ offer better pricing model option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
74,Our data pipeline outperforms CompetitorZ and offers better discount options.,Competition,data pipeline outperforms CompetitorZ offers better discount options .,data pipeline outperforms CompetitorZ offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
75,Our data pipeline outperforms CompetitorX and offers better discount options.,Competition,data pipeline outperforms CompetitorX offers better discount options .,data pipeline outperforms CompetitorX offer better discount option .,[features] outperforms [competitors] offer better [pricing_keywords] option .
